Countries,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
Albania,11361.00,11587.00,11878.00,12292.00,12771.00,13317.00,13653.00,13278.00,14596.00,15492.00,,,
Andorra,,,,,,,,,,,,,
Armenia,10677.00,11106.00,11506.00,11580.00,12510.00,13231.00,14318.00,13358.00,14207.00,55867.00,,,
Austria,47936.68,48813.53,49942.06,52665.09,54188.36,56956.11,60590.20,58610.93,63451.49,70889.43,73743.97,,
Azerbaijian,14652.00,14868.00,14853.00,14232.00,14121.00,14210.00,14442.00,13727.00,14434.00,15094.00,,,
Belarus,18805.00,19119.00,18363.00,49830.00,18356.00,18975.00,19288.00,19240.00,19873.00,19092.00,,,
Belgium,43672.71,44929.93,46201.69,48599.20,50442.95,52530.84,56621.43,55729.03,62124.24,68308.21,70830.91,,
Bosnia and Herzegovina,11483.00,11767.00,12438.00,13001.00,13582.00,14268.00,14852.00,14588.00,15893.00,16737.00,,,
Bulgaria,18915.00,19203.00,19983.00,20733.00,21458.00,22196.00,23255.00,22467.00,24386.00,26961.00,,,
Croatia,25484.00,24170.00,24985.00,26056.00,27268.00,28288.00,29412.00,27002.00,32061.00,34302.00,,,
Czech Republic,31048.12,32810.69,34217.98,36627.61,39620.87,42016.46,46139.56,45675.06,50019.14,53270.20,55803.22,,
Denmark,46883.13,47880.69,48906.11,51814.24,55270.42,57231.33,60568.74,62700.58,70370.11,78255.73,77223.38,,
Estonia,27784.71,29375.59,29760.31,31945.12,34553.45,37201.04,40650.01,40685.53,45083.85,49130.00,49652.99,,
Finland,41492.92,41749.86,42490.21,44934.49,47570.27,49573.26,52569.86,53657.58,57783.83,62590.08,64496.64,,
France,39772.37,40395.67,41049.73,42983.75,44527.55,46397.54,51119.65,49462.66,53878.48,57860.34,61473.32,,
Georgia,11739.00,12254.00,12605.00,12964.00,13590.00,14253.00,14989.00,13966.00,15487.00,17078.00,,,
Germany,44993.67,47011.28,47609.56,50579.48,53071.48,55195.72,58251.74,57905.09,61939.72,66616.05,69329.87,,
Greece,25986.64,26625.16,26760.28,27511.80,28604.83,29617.52,31611.26,29088.26,32797.28,38364.49,40521.06,,
Hungary,24547.98,25691.53,26798.85,27941.93,29496.16,31908.86,35152.60,35029.91,38648.00,43394.76,45941.05,,
Iceland,45243.08,46853.65,50158.55,54477.41,56644.70,58342.55,62031.41,57404.39,63837.75,75834.46,80449.13,,
Ireland,48878.66,52700.50,71682.51,73170.44,80556.53,86433.67,92189.16,97903.15,116741.57,135774.00,128156.55,,
Italy,36267.93,36475.98,37206.33,40267.22,41951.47,43427.66,46470.02,44202.20,49901.58,55838.85,58523.50,,
Kazakhstan,23721.00,24356.00,24290.00,24211.00,24863.00,25544.00,26352.00,25362.00,42563.00,26093.00,,,
Kosovo,8487.00,8797.00,9445.00,10031.00,10436.00,10755.00,11318.00,10707.00,11884.00,12675.00,,,
Latvia,22637.27,23810.01,24975.54,26724.54,28689.65,30891.88,33305.57,33725.72,36806.73,40957.41,42505.80,,
Liechtenstein,,,,,,,,,,,,,
Lithuania,26721.69,28184.26,28834.53,30925.26,33761.99,36376.54,40577.85,41168.18,46285.42,50997.27,51877.05,,
Luxembourg,100561.3664,104917.9457,107898.30,112955.47,114862.53,116334.92,121105.79,121973.63,137716.45,145971.05,143526.89,,
Malta,35339.00,37284.00,39903.00,40319.00,43494.00,45116.00,46439.00,41754.00,46599.00,48642.00,,,
Moldova,9682.00,10173.00,10216.00,10816.00,11464.00,12143.00,12777.00,11849.00,13704.00,13308.00,,,
Monaco,,,,,,,,,,,,,
Montenegro,17382.00,17675.00,18264.00,18798.00,19682.00,20687.00,21534.00,18259.00,20711.00,22109.00,,,
Netherlands,49623.33,49751.32,50956.45,53163.28,56038.53,58818.01,62344.80,62594.83,69323.51,77284.54,80752.09,,
North Macedonia,14109.00,14597.00,15139.00,15554.00,15707.00,16146.00,16773.00,15780.00,16709.00,17129.00,,,
Norway,67372.93,66335.46,60721.58,59263.43,64589.16,70252.74,70938.23,67116.53,89214.42,124255.73,103994.09,,
Poland,24028.19,25005.66,26495.81,27830.93,29609.45,31662.21,35099.14,35891.21,40022.79,45478.99,48135.93,,
Portugal,27936.02,28742.42,29660.91,31607.76,33044.70,34928.54,37845.19,35874.80,39036.34,44962.94,49744.99,,
Romania,22094.00,23091.00,23933.00,24759.00,26943.00,28736.00,30001.00,29057.00,30946.00,32496.00,,,
Russia,26332.00,26057.00,25488.00,25491.00,25926.00,26656.00,27255.00,26587.00,28057.00,27450.00,,,
San Marino,57137.00,56559.00,57543.00,58433.00,58202.00,58898.00,60076.00,56364.00,61609.00,61609.00,,,
Serbia,15400.00,15226.00,15578.00,16183.00,16611.00,17453.00,18307.00,18263.00,19860.00,20886.00,,,
Slovakia,28021.09,29029.59,30062.18,29737.53,30147.02,31374.19,33949.00,34990.99,37836.51,40629.72,43818.80,,
Slovenia,29639.92,30574.65,31339.76,33581.83,36189.97,38656.35,42360.51,41759.66,46281.90,51228.85,55708.26,,
Spain,32463.12,33558.98,34945.48,37333.06,39601.48,40776.77,43767.03,38984.48,43659.60,48655.65,52944.56,,
Sweden,46105.10,46836.96,48772.05,50289.79,51474.11,53122.46,57046.43,57489.28,63124.60,66715.51,68857.14,,
Switzerland,61656.49,63417.04,65265.05,67350.74,68193.50,70688.84,73732.23,72997.82,81603.19,90732.72,92580.23,,
Turkey,22373.14,24104.98,25855.91,26695.91,28193.06,28299.47,28461.33,28680.09,31637.65,38355.11,44151.02,,
Ukraine,13021.00,12386.00,11216.00,11536.00,11861.00,12337.00,12805.00,12408.00,12949.00,10731.00,,,
United Kingdom,39968.10,41281.54,42500.91,44057.69,46061.35,47107.71,49940.54,48006.08,52841.89,56761.51,58906.20,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
